>,you,i,it,please,actually
you,are,smile,have,greasy
are,a,genuinely,the
a,lovely,retard,giant,pole,shower,waste
lovely,person
i,like
like,the,somebody
the,way,worst
way,you
genuinely,retarded
giant,retard
have,beautiful
beautiful,eyes
it,looks
looks,like
somebody,grabbed
grabbed,a
pole,and
and,beat
beat,your
your,dad's
dad's,cock
cock,with
with,it
worst,thing
thing,that
that,has
has,ever
ever,happened
happened,to
to,humanity
please,never,take
never,reproduce
take,a
shower,you
greasy,fucknugget
actually,kill
kill,yourself
waste,of
of,time
